"Age","Attribute0","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Club","Date_of_Birth","Division","Full_Name","Hairstyle","Height_cm","League","Nation","Positions","Preferred_Foot","Rating","Squad_Number","Weight_kg","_corrupt_record","County_league"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Xanthi","27 September 1991","1","Mehdi Terki","Cropped","185","Super League 1","Algeria","Midfielder Centre","Right","82","28","75",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","13 January 1990","1","Thibault Moulin","Short","173","Super League 1","France","Midfielder Centre","Right","82","75","68",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","13 October 1993","1","Miloš Deletić","Unknown","179","Super League 1","Serbia","Attacking Midfielder Right Left","Right","82","11","74",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","26 October 1986","1","Erik Jendrišek","Cropped","176","Super League 1","Slovakia","Attacking Midfielder Right Left","Both","80","26","74",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CD Tenerife","28 June 1995","1","Carlos Javier Abad-Hernández Trujillo","Short","193","Super League 1","Spain","Goalkeeper","Right","78","1","85",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","22 November 1990","1","Daniel Sundgren","Short","180","Super League 1","Sweden","Defender Right Centre","Right","82","21","70",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fortuna Sittard","12 March 1996","1","Lisandro Pedro Varela Semedo","Short","175","Super League 1","Portugal","Attacking Midfielder Right Left","Right","80","11","70",NULL,"GREECE"
33,"Work Rate","Aggression","Positioning","Marking","Tackling","Stamina","Pace","Volleying","Saving Penalties","Movement","PAOK","25 June 1986","1","Pontus Anders Mikael Wernbloom","Short","187","Super League 1","Sweden","Defensive Midfielder Centre","Right","84","19","85",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Danubio","18 March 1991","1","Luis Leandro Sosa Otermin","Short","177","Super League 1","Uruguay","Defender Left","Left","80","25","70",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","14 April 1989","1","Živko Živković","Short","193","Super League 1","Serbia","Goalkeeper","Right","82","88","89",NULL,"GREECE"
